GENRE	VOTES
Crime, Fantasy, Thriller	2228
Documentary, Action, History	2236
Action, Horror	2254
Action, Crime, Romance	2319
Documentary, Short, Sci-Fi	2429
Family, Sport	2436
Documentary, Comedy, Musical	2479
Fantasy, Horror, Romance	2489
Comedy, Documentary	2558
Documentary, History, News	2691
Family, Game-Show	2827
Music	2880
Short, Drama, Romance	2923
Comedy, Horror, Mystery	2990
Documentary, Adventure, Drama	2996
Documentary, Animation, Sci-Fi	3006
Documentary, Action, Adventure	3234
Documentary, Reality-TV, Romance	3333
Crime, Film-Noir, Mystery	3337
Music, Reality-TV	3341
Horror, Reality-TV	3413
Short, Adventure, Comedy	3458
Adventure, Reality-TV	3478
Biography, History, War	3480
Horror, Mystery, Romance	3542
Drama, Family, Musical	3565
Documentary, Horror	3663
Comedy, Romance, Sci-Fi	3743
Fantasy, Romance	3881
Sport	3936
Short, Drama	4031
Adventure, Comedy	4147
Animation, Adventure	4149
Crime, Mystery, Romance	4151
Crime, Drama, Family	4163
Adventure, Comedy, Mystery	4302
Drama, Reality-TV	4305
Action, Comedy, Sci-Fi	4351
Animation, Action, Romance	4447
Documentary, Short, Sport	4501
Drama, Family, Sport	4501
Short, Comedy	4527
Comedy, Horror, Sci-Fi	4613
Drama, Family, Music	4754
Documentary, Adventure, History	4828
Animation, Action, Family	4870
Comedy, Horror, Reality-TV	4871
Adventure, Romance	5016
Short, Comedy, Music	5359
Animation, Action	5404
Documentary, Animation, History	5421
Comedy, Horror, Romance	5447
Crime, Film-Noir, Thriller	5451
Drama, Family, Sci-Fi	5479
Documentary, Short, Biography	5590
Family, Romance	5594
Action, Comedy, History	5596
Film-Noir, Thriller	5679
Comedy, Family, Musical	5909
"Romance            """	5947
Documentary, Short, History	6070
Family, Fantasy	6122
Western	6240
Animation, Comedy, Sport	6396
Animation	6565
Comedy, Drama, Horror	6571
Comedy, News, Talk-Show	6817
Documentary, Comedy, History	6887
Biography, Crime	7032
Documentary, News	7242
Documentary, Short, War	7344
Crime, Drama, Western	7430
Biography, Thriller	7515
Action, Comedy, Family	7535
Action, Thriller, War	7607
Comedy, Crime, Western	7695
Comedy, Mystery, Romance	7696
Documentary, Biography, Family	7869
Comedy, Crime, Romance	7888
Family	7916
Action, Fantasy	8178
Animation, Action, Sci-Fi	8211
Documentary, Biography, Comedy	8256
Documentary, Drama, Sport	8293
Talk-Show	8534
Sci-Fi	8584
Horror, Music, Thriller	8597
Action, Comedy, Thriller	8885
Animation, Action, Horror	8964
Action, Fantasy, Horror	9046
History, Sport, Thriller	9330
Fantasy, Horror, Sci-Fi	9721
Fantasy, Mystery, Romance	9876
Action, Drama, Romance	9965
Game-Show, Reality-TV, Romance	10008
Drama, History, Western	10096
Short, Music	10114
Reality-TV, Romance	10333
Action, War	10546
Documentary, Biography, News	10737
Romance, Sci-Fi	10879
Crime, History, Thriller	10977
Game-Show	11063
Short, Comedy, Crime	11306
Animation, Family	11692
Fantasy, Horror	11951
Animation, Adventure, Sci-Fi	12226
Crime, Drama, Sci-Fi	12242
Documentary, Drama, Mystery	12328
Animation, Short, Action	12352
Short, Drama, Sci-Fi	12375
Family, Fantasy, Horror	12427
Animation, Drama, Mystery	12828
Drama, History, Sport	12846
Action, Romance, Sci-Fi	12922
Biography, Drama, Thriller	13179
Comedy, Family, Fantasy	13908
Documentary, War	14024
Animation, Comedy, Fantasy	14161
Adventure, Drama, Romance	14529
Drama, Family, Romance	14559
Biography, Comedy	14676
Documentary, Reality-TV	14812
Comedy, Talk-Show	15229
Comedy, Music, Musical	16598
Adventure, Comedy, Romance	16937
Drama, Mystery	17442
Biography, Drama, Music	17708
Animation, Drama, Horror	17838
Action, Drama, Western	18670
Drama, Fantasy, Thriller	18971
Crime	19832
Comedy, Musical	20485
Biography, Drama, War	21093
Comedy, Crime, Mystery	21219
Action, Fantasy, Mystery	22347
Drama, Family, Fantasy	22431
Animation, Drama, Music	23327
Action, Sci-Fi	24013
Romance	24099
Action, Fantasy, Western	25758
Crime, Horror, Mystery	26359
Animation, Short, Drama	26833
Documentary, Short	27566
Drama, Family, Reality-TV	27754
Documentary, Biography, Drama	28081
Drama, Sport	28562
Action, Horror, Mystery	28745
Comedy, Thriller	28997
Adventure, Drama, Thriller	29152
Documentary, Adventure	29530
Documentary, History, War	29836
"Horror            """	30530
Documentary, Crime, Sport	30658
Comedy, Drama, Thriller	31658
Adventure, Drama, Sci-Fi	32372
Mystery, Sci-Fi, Thriller	32569
Documentary, Crime, Drama	32964
Sci-Fi, Thriller	33301
Documentary, Biography, Sport	33424
Action, Adventure, War	34726
Action, Drama, Sport	34826
Drama, Romance, Thriller	34966
Comedy, Drama, Western	35091
Action, Horror, Thriller	35123
Action, Western	36044
Action, Drama, Horror	36351
Documentary, Drama, History	37443
Action	37485
Action, Fantasy, Sci-Fi	37600
Comedy, Family, Music	38015
Crime, Sci-Fi, Thriller	40017
Documentary, Crime, Music	40743
Action, Crime	42105
Drama, Romance, War	42128
Game-Show, Reality-TV	42138
Comedy, Reality-TV	42186
Action, Adventure	42922
Crime, Mystery, Sci-Fi	44980
Comedy, Fantasy, Horror	45125
Comedy, Mystery	46205
Adventure, Drama, War	46703
Animation, Comedy, Family	47413
Comedy, Family, Sci-Fi	48780
Animation, Action, Crime	49172
Comedy, Drama, War	50409
Documentary, Biography, Music	51979
Drama, History	54963
Horror, Mystery, Sci-Fi	55456
Animation, Short, Adventure	56069
Adventure, Fantasy, Sci-Fi	56121
Animation, Drama, Romance	56153
